City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
11,Kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Ukiah,US,77.43,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
15,Bengkulu,ID,77.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
18,Hilo,US,88.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
22,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
29,Mersing,MY,78.71,few clouds,2.4312,103.8405,Timotel Hotel
31,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
37,Napoleon,US,82.76,overcast clouds,41.3923,-84.1252,Holiday Inn & Suites
40,Faanui,PF,79.97,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
42,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
53,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
58,Bryant,US,85.35,overcast clouds,34.5959,-92.4891,La Quinta Inn & Suites by Wyndham Little Rock - Bryant
60,Labuhan,ID,78.66,overcast clouds,-6.8844,112.2051,DoubleFAG
69,Itacoatiara,BR,81.91,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
73,Puerto Escondido,MX,88.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
74,Sungairaya,ID,79.21,moderate rain,0.7,108.9,Rumah Kuku Moimoi Shelly
78,Victoria,HK,79.97,overcast clouds,22.2855,114.1577,Mini Central
79,Didwana,IN,89.58,clear sky,27.4,74.5667,Marudhar Hotel Didwana
82,Hamilton,US,86.92,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
83,Butaritari,KI,80.56,broken clouds,3.0707,172.7902,Isles Sunset Lodge
84,Bang Saphan,TH,77.41,moderate rain,11.2126,99.5117,Ladawan Boutique Hotel
89,Kailua,US,77.07,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
90,Auki,SB,75.79,scattered clouds,-8.7676,160.7034,Auki Motel
91,Atuona,PF,77.61,few clouds,-9.8,-139.0333,Villa Enata
98,Half Moon Bay,US,80.87,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
114,Kuching,MY,75.42,scattered clouds,1.55,110.3333,Hilton Kuching
118,Huron,US,84.18,overcast clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
122,Sinnamary,GF,78.22,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
