City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Saskylakh,RU,71.9167,114.0833,26.53,97,99,6.89,overcast clouds
1,Kaitangata,NZ,-46.2817,169.8464,45.84,92,99,15.82,overcast clouds
2,Airai,TL,-8.9266,125.4092,57.72,90,32,3.62,scattered clouds
3,Midyat,TR,37.4247,41.3393,61.56,32,25,7.38,scattered clouds
4,Burgeo,CA,47.6167,-57.6152,52.36,67,22,7.61,few clouds
5,Qaqortoq,GL,60.7167,-46.0333,41.0,71,15,2.3,few clouds
6,Nadvoitsy,RU,63.8667,34.3167,36.91,58,13,8.55,few clouds
7,Rikitea,PF,-23.1203,-134.9692,74.89,73,11,4.97,few clouds
8,Brownsville,US,25.9018,-97.4975,94.08,61,0,23.02,clear sky
9,East London,ZA,-33.0153,27.9116,59.94,94,0,5.75,clear sky
10,Hasaki,JP,35.7333,140.8333,59.4,86,100,14.45,light rain
11,Kapaa,US,22.0752,-159.319,75.18,99,75,4.61,broken clouds
12,Ukiah,US,39.1502,-123.2078,77.43,42,0,1.01,clear sky
13,Sungaipenuh,ID,-2.0833,101.3833,65.05,98,95,0.74,overcast clouds
14,Kodiak,US,57.79,-152.4072,45.91,81,100,20.71,overcast clouds
15,Bengkulu,ID,-3.8004,102.2655,77.18,86,97,2.68,overcast clouds
16,Kedougou,SN,12.5579,-12.1743,100.98,34,20,6.91,few clouds
17,Busselton,AU,-33.65,115.3333,60.24,74,3,8.97,clear sky
18,Hilo,US,19.7297,-155.09,88.29,82,100,4.61,overcast clouds
19,Zyryanka,RU,65.75,150.85,46.78,74,100,12.48,overcast clouds
20,Albany,US,42.6001,-73.9662,87.94,59,47,7.31,scattered clouds
21,Pisco,PE,-13.7,-76.2167,68.02,82,20,10.36,mist
22,Kahului,US,20.8947,-156.47,78.84,78,20,10.0,few clouds
23,Kamenka,RU,51.3223,42.7678,45.91,57,63,7.67,broken clouds
24,Leningradskiy,RU,69.3833,178.4167,32.07,97,97,9.51,overcast clouds
25,Bluff,NZ,-46.6,168.3333,50.92,82,100,29.89,light rain
26,Ushuaia,AR,-54.8,-68.3,42.46,70,75,18.41,broken clouds
27,Cape Town,ZA,-33.9258,18.4232,60.28,76,0,4.61,clear sky
28,Golden,US,39.7555,-105.2211,41.85,84,99,3.0,overcast clouds
29,Mersing,MY,2.4312,103.8405,78.71,94,20,5.75,few clouds
30,Khatanga,RU,71.9667,102.5,35.38,98,100,6.02,overcast clouds
31,Mahon,ES,39.8885,4.2658,75.76,57,0,5.75,clear sky
32,Barra Patuca,HN,15.8,-84.2833,80.98,85,100,15.95,overcast clouds
33,Mataura,NZ,-46.1927,168.8643,45.14,97,100,9.26,light rain
34,Gushikawa,JP,26.3544,127.8686,72.63,88,75,6.91,broken clouds
35,Dikson,RU,73.5069,80.5464,23.49,96,98,7.38,overcast clouds
36,Aginskoye,RU,51.1,114.53,59.18,32,77,5.35,broken clouds
37,Napoleon,US,41.3923,-84.1252,82.76,84,100,3.69,overcast clouds
38,Panguna,PG,-6.3164,155.4848,67.6,96,57,1.59,broken clouds
39,Vaini,TO,-21.2,-175.2,69.96,100,75,3.44,broken clouds
40,Faanui,PF,-16.4833,-151.75,79.97,73,18,10.25,few clouds
41,Tsaratanana,MG,-16.7833,47.65,69.58,73,13,9.53,few clouds
42,Vila Velha,BR,-20.3297,-40.2925,76.95,53,20,16.11,few clouds
43,Punta Arenas,CL,-53.15,-70.9167,41.11,80,13,15.93,few clouds
44,Anadyr,RU,64.75,177.4833,32.5,93,87,4.47,fog
45,Mandalgovi,MN,45.7625,106.2708,61.03,48,87,12.57,overcast clouds
46,Almaznyy,RU,48.0448,40.045,56.37,96,100,22.19,moderate rain
47,Marawi,PH,7.9986,124.2928,69.15,92,91,2.46,overcast clouds
48,Avarua,CK,-21.2078,-159.775,73.45,83,40,3.44,scattered clouds
49,Napier,NZ,-39.4833,176.9167,55.27,63,39,3.0,scattered clouds
50,Lebu,CL,-37.6167,-73.65,55.54,79,87,8.12,overcast clouds
51,Provideniya,RU,64.3833,-173.3,46.44,57,75,11.9,broken clouds
52,Gariaband,IN,20.635,82.0614,90.7,40,74,13.71,broken clouds
53,Puerto Ayora,EC,-0.7393,-90.3518,75.16,90,62,11.99,broken clouds
54,Berlevag,NO,70.8578,29.0864,39.15,87,100,11.5,light rain
55,Norman Wells,CA,65.282,-126.8329,42.84,87,100,17.27,light rain
56,Liverpool,GB,53.4106,-2.9779,65.37,57,40,13.8,scattered clouds
57,Houston,US,29.7633,-95.3633,96.06,63,75,17.27,haze
58,Bryant,US,34.5959,-92.4891,85.35,76,100,3.0,overcast clouds
59,New Norfolk,AU,-42.7826,147.0587,45.91,87,6,2.55,clear sky
60,Labuhan,ID,-6.8844,112.2051,78.66,84,98,6.85,overcast clouds
61,Carnarvon,AU,-24.8667,113.6333,71.47,63,66,6.35,broken clouds
62,Upernavik,GL,72.7868,-56.1549,29.03,79,100,8.23,overcast clouds
63,La Ronge,CA,55.1001,-105.2842,55.62,24,20,12.66,few clouds
64,Namibe,AO,-15.1961,12.1522,69.01,71,1,7.23,clear sky
65,Ribeira Grande,PT,38.5167,-28.7,64.8,100,100,4.61,fog
66,Hobart,AU,-42.8794,147.3294,46.26,90,75,9.22,haze
67,Nikolskoye,RU,59.7035,30.7861,51.69,51,9,11.23,clear sky
68,Pangnirtung,CA,66.1451,-65.7125,32.0,80,75,8.05,broken clouds
69,Itacoatiara,BR,-3.1431,-58.4442,81.91,68,93,2.55,overcast clouds
70,Hermanus,ZA,-34.4187,19.2345,58.77,74,37,5.91,scattered clouds
71,Thamaga,BW,-24.6701,25.5397,47.43,84,100,3.09,light rain
72,Guerrero Negro,MX,27.9769,-114.0611,69.85,54,45,8.19,scattered clouds
73,Puerto Escondido,MX,15.85,-97.0667,88.63,74,0,8.05,clear sky
74,Sungairaya,ID,0.7,108.9,79.21,87,93,4.54,moderate rain
75,Yellowknife,CA,62.456,-114.3525,54.12,40,75,3.44,broken clouds
76,Ponta Do Sol,PT,32.6667,-17.1,72.72,77,69,0.4,broken clouds
77,Margate,GB,51.3813,1.3862,64.87,65,90,1.01,overcast clouds
78,Victoria,HK,22.2855,114.1577,79.97,88,88,13.0,overcast clouds
79,Didwana,IN,27.4,74.5667,89.58,10,1,10.4,clear sky
80,Chuy,UY,-33.6971,-53.4616,62.49,57,96,7.9,overcast clouds
81,Balkanabat,TM,39.5108,54.3671,63.9,46,1,11.21,clear sky
82,Hamilton,US,39.1834,-84.5333,86.92,71,75,10.36,broken clouds
83,Butaritari,KI,3.0707,172.7902,80.56,80,58,10.65,broken clouds
84,Bang Saphan,TH,11.2126,99.5117,77.41,91,100,4.99,moderate rain
85,Sobolevo,RU,54.4299,31.8996,45.46,97,100,10.87,overcast clouds
86,Whitehorse,CA,60.7161,-135.0538,57.09,45,20,6.91,few clouds
87,Niihama,JP,33.9593,133.3167,60.26,83,11,4.23,few clouds
88,Jumla,NP,29.2747,82.1838,52.52,79,87,4.36,overcast clouds
89,Kailua,US,21.4022,-157.7394,77.07,95,6,7.49,clear sky
90,Auki,SB,-8.7676,160.7034,75.79,87,36,3.2,scattered clouds
91,Atuona,PF,-9.8,-139.0333,77.61,76,22,10.33,few clouds
92,Lompoc,US,34.6391,-120.4579,74.7,58,0,6.91,clear sky
93,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,95,99,5.17,overcast clouds
94,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,100,10.36,light snow
95,Guaraniacu,BR,-25.1008,-52.8781,61.92,48,24,3.06,few clouds
96,Teya,RU,60.3778,92.6267,43.41,87,87,6.38,overcast clouds
97,West University Place,US,29.718,-95.4338,95.99,62,75,17.27,haze
98,Half Moon Bay,US,37.4636,-122.4286,80.87,62,0,8.05,haze
99,Bredasdorp,ZA,-34.5322,20.0403,54.18,81,55,5.77,broken clouds
